City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,58.1,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Tuktoyaktuk,CA,32.22,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
7,Iqaluit,CA,27.7,overcast clouds,63.7506,-68.5145,Frobisher Inn
10,Cherskiy,RU,42.06,overcast clouds,68.75,161.3,Gostinitsa
11,Ushuaia,AR,42.46,few clouds,-54.8,-68.3,Albatross Hotel
15,Flinders,AU,57.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
23,Kaitangata,NZ,51.19,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
28,Bluff,NZ,50.67,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
29,Khatanga,RU,32.7,light snow,71.9667,102.5,"""Khatanga"""
32,Punta Arenas,CL,44.11,broken clouds,-53.15,-70.9167,Hotel Hain
34,Parati,BR,57.04,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
36,Marystown,CA,45.7,few clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
39,Kolo,PL,46.67,clear sky,52.2002,18.6387,Noclegi w Kole
42,Mount Gambier,AU,51.84,scattered clouds,-37.8333,140.7667,The Commodore
43,Mar Del Plata,AR,49.95,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
44,Nemuro,JP,46.9,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
49,Qaanaaq,GL,29.88,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
50,Constitucion,CL,51.93,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
54,Bredasdorp,ZA,58.66,light rain,-34.5322,20.0403,Bredasdorp Country Manor
56,Vardo,NO,33.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
57,Jamestown,US,55.02,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Charlestown,AU,56.73,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
65,Thompson,CA,50.16,few clouds,55.7435,-97.8558,Burntwood Hotel
67,Sept-Iles,CA,43.05,broken clouds,50.2001,-66.3821,Comfort Inn
68,Mataura,NZ,50.23,broken clouds,-46.1927,168.8643,Ellie's Villa
69,Nome,US,38.16,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
73,Pangnirtung,CA,29.34,broken clouds,66.1451,-65.7125,Kilabuk Lodge
84,Yate,GB,55.44,overcast clouds,51.5407,-2.4184,The Moda House
88,Kodiak,US,53.82,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
89,Chuy,UY,55.45,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
91,Sorland,NO,42.66,few clouds,67.667,12.6934,Sjybrygga fiskecamp
92,Zhigansk,RU,33.94,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
96,New Norfolk,AU,53.1,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
97,Castro,BR,43.05,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
99,Hobart,AU,53.46,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
102,Valparaiso,CL,55.47,broken clouds,-33.0393,-71.6273,Hotel Ultramar
103,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
107,Verkhnevilyuysk,RU,45.9,overcast clouds,63.4453,120.3167,Gostinitsa Mila
110,Hokitika,NZ,58.77,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
114,Leh,IN,45.75,few clouds,34.1667,77.5833,Hotel Ladakh Greens
118,Bonavista,CA,42.75,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
123,Kangaatsiaq,GL,27.72,clear sky,68.3065,-53.4641,Nukissiorfiit
125,Koping,SE,58.93,overcast clouds,59.514,15.9926,Best Western Hotel Scheele
127,Longyearbyen,SJ,26.44,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
128,Alto Parana,BR,50.92,overcast clouds,-23.1289,-52.3189,Negão House
130,Usak,TR,54.28,scattered clouds,38.5,29.4167,Bekdemir Koyu Muhtarligi
134,Visby,SE,50.22,broken clouds,57.6409,18.296,Best Western Solhem Hotel Visby
