City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.06,71,88,13.49,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,83.48,73,100,13.73,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,58.1,92,75,5.75,broken clouds
3,Dikson,RU,73.5069,80.5464,31.28,96,100,14.09,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,32.22,92,100,10.98,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,68.18,61,19,1.01,few clouds
6,Salalah,OM,17.0151,54.0924,79.54,71,64,2.04,broken clouds
7,Iqaluit,CA,63.7506,-68.5145,27.7,79,100,11.99,overcast clouds
8,Chokurdakh,RU,70.6333,147.9167,30.16,89,100,6.11,overcast clouds
9,Hoa Binh,VN,20.8133,105.3383,73.56,92,100,1.05,overcast clouds
10,Cherskiy,RU,68.75,161.3,42.06,86,100,5.08,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,42.46,75,20,0.0,few clouds
12,Albany,US,42.6001,-73.9662,62.78,38,100,6.6,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,68,1.01,broken clouds
14,Bulolo,PG,-7.2,146.65,76.17,89,84,1.54,broken clouds
15,Flinders,AU,-34.5833,150.8552,57.06,75,0,4.0,clear sky
16,Yudong,CN,29.385,106.5194,65.5,99,100,2.15,overcast clouds
17,Tiksi,RU,71.6872,128.8694,24.66,92,98,6.2,overcast clouds
18,Avarua,CK,-21.2078,-159.775,77.7,79,34,15.21,scattered clouds
19,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,98,89,11.9,overcast clouds
20,Victoria,HK,22.2855,114.1577,77.38,64,100,1.99,overcast clouds
21,Hasaki,JP,35.7333,140.8333,66.6,62,0,1.14,clear sky
22,Lahaina,US,20.8783,-156.6825,82.96,73,97,7.25,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,51.19,79,81,5.35,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,76.69,77,41,15.46,light rain
25,Hilo,US,19.7297,-155.09,95.29,72,0,18.41,clear sky
26,Mount Isa,AU,-20.7333,139.5,71.37,60,37,5.75,scattered clouds
27,Cabo San Lucas,MX,22.8909,-109.9124,87.62,53,40,17.27,scattered clouds
28,Bluff,NZ,-46.6,168.3333,50.67,83,79,17.09,broken clouds
29,Khatanga,RU,71.9667,102.5,32.7,98,100,7.07,light snow
30,Airai,TL,-8.9266,125.4092,62.71,86,56,3.42,broken clouds
31,Luderitz,NA,-26.6481,15.1594,62.29,75,80,6.91,broken clouds
32,Punta Arenas,CL,-53.15,-70.9167,44.11,81,58,1.92,broken clouds
33,Balaipungut,ID,1.05,101.2833,74.26,98,52,1.12,light rain
34,Parati,BR,-23.2178,-44.7131,57.04,67,5,8.46,clear sky
35,Buala,SB,-8.145,159.5921,84.65,67,0,1.88,clear sky
36,Marystown,CA,47.1666,-55.1483,45.7,92,18,7.52,few clouds
37,Vaini,TO,-21.2,-175.2,76.37,69,58,17.63,broken clouds
38,College,US,64.8569,-147.8028,61.09,36,100,4.0,overcast clouds
39,Kolo,PL,52.2002,18.6387,46.67,52,10,6.71,clear sky
40,Ojinaga,MX,29.5667,-104.4167,101.57,13,0,8.05,clear sky
41,Kuytun,RU,54.3419,101.5036,61.25,61,75,4.88,broken clouds
42,Mount Gambier,AU,-37.8333,140.7667,51.84,80,44,1.5,scattered clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,49.95,74,12,4.0,few clouds
44,Nemuro,JP,43.3236,145.575,46.9,92,99,16.58,overcast clouds
45,Corinto,GR,37.9407,22.9573,65.89,84,100,17.07,overcast clouds
46,Balikpapan,ID,-1.2675,116.8289,77.99,89,40,2.3,scattered clouds
47,Oranjestad,AW,12.524,-70.027,80.67,82,100,23.67,overcast clouds
48,Talisay,PH,10.2447,123.8494,82.11,80,56,4.41,broken clouds
49,Qaanaaq,GL,77.484,-69.3632,29.88,79,98,2.66,overcast clouds
50,Constitucion,CL,-35.3333,-72.4167,51.93,86,95,4.68,overcast clouds
51,Busselton,AU,-33.65,115.3333,60.46,84,77,1.95,broken clouds
52,Huarmey,PE,-10.0681,-78.1522,67.44,82,75,7.96,broken clouds
53,Mahebourg,MU,-20.4081,57.7,75.49,69,40,6.91,scattered clouds
54,Bredasdorp,ZA,-34.5322,20.0403,58.66,79,100,18.14,light rain
55,Poum,NC,-20.2333,164.0167,77.65,70,2,8.39,clear sky
56,Vardo,NO,70.3705,31.1107,33.78,75,100,23.02,overcast clouds
57,Jamestown,US,42.097,-79.2353,55.02,84,100,4.61,light rain
58,Charlestown,AU,-32.95,151.6667,56.73,72,68,3.0,broken clouds
59,Esperance,AU,-33.8667,121.9,59.2,89,76,7.54,broken clouds
60,Wyndham,US,37.6985,-77.6125,77.11,58,63,1.99,broken clouds
61,Kavieng,PG,-2.5744,150.7967,83.5,74,6,8.66,light rain
62,Kapaa,US,22.0752,-159.319,78.78,90,100,7.0,overcast clouds
63,Ambanja,MG,-13.6833,48.45,69.06,89,41,4.68,scattered clouds
64,Praia,CV,14.9215,-23.5087,79.34,47,0,19.57,clear sky
65,Thompson,CA,55.7435,-97.8558,50.16,29,20,9.22,few clouds
66,Beringovskiy,RU,63.05,179.3167,39.97,79,100,7.78,overcast clouds
67,Sept-Iles,CA,50.2001,-66.3821,43.05,57,56,15.99,broken clouds
68,Mataura,NZ,-46.1927,168.8643,50.23,87,70,7.25,broken clouds
69,Nome,US,64.5011,-165.4064,38.16,81,33,10.18,scattered clouds
70,Ribeira Grande,PT,38.5167,-28.7,60.3,93,85,32.61,light rain
71,Saint-Philippe,RE,-21.3585,55.7679,67.59,73,66,9.8,broken clouds
72,Utica,US,43.1009,-75.2327,59.72,43,100,2.84,overcast clouds
73,Pangnirtung,CA,66.1451,-65.7125,29.34,87,70,3.22,broken clouds
74,Amalapuram,IN,16.5833,82.0167,82.08,86,99,4.7,overcast clouds
75,Manati,PR,18.4275,-66.4921,84.18,84,58,4.79,broken clouds
76,Faanui,PF,-16.4833,-151.75,79.27,76,97,7.43,light rain
77,Saint George,US,37.1041,-113.5841,99.63,10,10,7.0,clear sky
78,Adrar,MR,20.5022,-10.0711,83.95,12,5,9.06,clear sky
79,Jian,CN,27.1172,114.9793,69.12,82,92,2.08,overcast clouds
80,Zhangye,CN,38.9342,100.4517,60.75,26,17,4.09,few clouds
81,Borogontsy,RU,62.6683,131.1683,46.4,59,76,5.53,broken clouds
82,Saldanha,ZA,-33.0117,17.9442,60.53,74,99,12.64,overcast clouds
83,Upernavik,GL,72.7868,-56.1549,25.83,89,7,8.19,clear sky
84,Yate,GB,51.5407,-2.4184,55.44,94,100,0.4,overcast clouds
85,Griffith,US,41.5284,-87.4237,69.4,89,100,6.91,mist
86,Muli,MV,2.9167,73.5667,82.54,79,100,16.75,overcast clouds
87,Kahului,US,20.8947,-156.47,81.97,74,96,5.99,overcast clouds
88,Kodiak,US,57.79,-152.4072,53.82,49,1,9.26,clear sky
89,Chuy,UY,-33.6971,-53.4616,55.45,81,43,11.86,scattered clouds
90,Gandu,BR,-13.7439,-39.4867,72.45,99,58,2.91,broken clouds
91,Sorland,NO,67.667,12.6934,42.66,81,11,14.14,few clouds
92,Zhigansk,RU,66.7697,123.3711,33.94,93,97,12.77,overcast clouds
93,Itarema,BR,-2.9248,-39.9167,79.07,88,100,8.7,overcast clouds
94,Opuwo,NA,-18.0607,13.84,59.41,46,1,1.5,clear sky
95,Fortuna,US,40.5982,-124.1573,67.91,59,0,16.11,clear sky
96,New Norfolk,AU,-42.7826,147.0587,53.1,67,82,3.0,broken clouds
97,Castro,BR,-24.7911,-50.0119,43.05,92,100,12.37,overcast clouds
98,Edd,ER,13.9297,41.6925,83.98,70,95,4.72,overcast clouds
99,Hobart,AU,-42.8794,147.3294,53.46,69,75,17.27,broken clouds
100,Barrow,US,71.2906,-156.7887,17.62,86,100,18.41,overcast clouds
101,Hami,CN,42.8,93.45,71.55,22,5,6.13,clear sky
102,Valparaiso,CL,-33.0393,-71.6273,55.47,82,71,6.91,broken clouds
103,Tasiilaq,GL,65.6145,-37.6368,35.76,93,100,4.21,overcast clouds
104,Chhatarpur,IN,24.9,79.6,90.43,18,39,3.96,scattered clouds
105,Karratha,AU,-20.7377,116.8463,71.19,84,0,9.01,clear sky
106,Carauari,BR,-4.8828,-66.8958,70.63,82,100,3.94,overcast clouds
107,Verkhnevilyuysk,RU,63.4453,120.3167,45.9,58,98,10.11,overcast clouds
108,Chicama,PE,-7.8447,-79.1469,70.18,75,96,6.8,overcast clouds
109,Baruun-Urt,MN,46.6806,113.2792,60.55,32,3,4.18,clear sky
110,Hokitika,NZ,-42.7167,170.9667,58.77,84,100,16.87,overcast clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,69.04,54,0,20.71,clear sky
112,Rundu,NA,-17.9333,19.7667,59.18,52,49,4.34,scattered clouds
113,Bethel,US,41.3712,-73.414,68.52,40,98,2.98,overcast clouds
114,Leh,IN,34.1667,77.5833,45.75,46,12,3.62,few clouds
115,Tokur,RU,53.1333,132.9,32.29,98,100,4.85,overcast clouds
116,Guerrero Negro,MX,27.9769,-114.0611,67.41,58,0,16.75,clear sky
117,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,90,0,10.36,clear sky
118,Bonavista,CA,48.6499,-53.1147,42.75,99,86,13.69,overcast clouds
119,Kruisfontein,ZA,-34.0033,24.7314,62.89,71,62,4.59,broken clouds
120,Atuona,PF,-9.8,-139.0333,78.78,66,26,15.19,scattered clouds
121,Aripuana,BR,-9.1667,-60.6333,66.0,66,86,2.59,overcast clouds
122,Daru,PG,-9.0763,143.2092,82.18,75,39,9.46,scattered clouds
123,Kangaatsiaq,GL,68.3065,-53.4641,27.72,91,7,8.9,clear sky
124,Pemangkat,ID,1.1667,108.9667,78.17,87,65,4.16,broken clouds
125,Koping,SE,59.514,15.9926,58.93,76,96,6.51,overcast clouds
126,Pula,HR,44.8683,13.8481,64.96,42,0,11.5,clear sky
127,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,5.75,light snow
128,Alto Parana,BR,-23.1289,-52.3189,50.92,72,93,8.52,overcast clouds
129,Pacific Grove,US,36.6177,-121.9166,81.55,56,8,8.01,clear sky
130,Usak,TR,38.5,29.4167,54.28,81,37,9.69,scattered clouds
131,Waipawa,NZ,-41.4122,175.5153,62.2,68,57,19.06,broken clouds
132,Caibarien,CU,22.5206,-79.4669,75.87,94,60,4.7,broken clouds
133,Hyeres,FR,43.1167,6.1167,67.66,94,99,3.44,overcast clouds
134,Visby,SE,57.6409,18.296,50.22,66,75,12.66,broken clouds
135,Benghazi,LY,32.1167,20.0667,67.57,76,13,10.71,few clouds
136,Saskylakh,RU,71.9167,114.0833,20.73,93,67,10.38,broken clouds
137,Tarnowskie Gory,PL,50.4455,18.8615,52.99,70,0,3.44,clear sky
138,Ostrovnoy,RU,68.0531,39.5131,32.04,90,100,8.9,light snow
139,Natitingou,BJ,10.3042,1.3796,81.05,48,91,1.21,overcast clouds
140,Carlsbad,US,33.1581,-117.3506,82.09,72,75,9.22,broken clouds
141,Dingle,PH,10.9995,122.6711,80.44,84,93,4.43,moderate rain
142,Jasper,US,37.2001,-94.3502,87.67,63,40,8.05,scattered clouds
143,Torbay,CA,47.6666,-52.7314,46.38,91,49,1.01,scattered clouds
144,Keuruu,FI,62.2667,24.7,44.78,71,100,8.81,overcast clouds
145,Sturgeon Falls,CA,46.3646,-79.9326,58.12,48,9,10.51,clear sky
146,Kokkarion,GR,37.7764,26.8939,62.46,86,13,12.88,few clouds
147,Hermanus,ZA,-34.4187,19.2345,59.81,76,97,17.67,light rain
148,Vila,PT,42.0304,-8.1588,49.69,81,52,0.81,broken clouds
149,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.73,100,100,1.83,light rain
150,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,51,20,6.71,few clouds
151,Scottsbluff,US,41.8666,-103.6672,82.78,22,9,3.0,clear sky
152,Mangrol,IN,21.1167,70.1167,81.28,76,0,10.58,clear sky
153,Lata,PT,40.1629,-8.3327,52.05,89,8,2.59,clear sky
154,Iralaya,HN,15.0,-83.2333,79.86,84,97,9.17,overcast clouds
155,Tiarei,PF,-17.5333,-149.3333,86.02,74,99,11.27,light rain
156,Pudozh,RU,61.8099,36.5345,36.54,93,97,7.0,overcast clouds
157,Ilulissat,GL,69.2167,-51.1,32.02,86,3,0.0,clear sky
158,Lorengau,PG,-2.0226,147.2712,85.21,69,11,5.53,few clouds
159,Avera,US,33.194,-82.5271,90.37,35,1,6.89,clear sky
160,Katherine,AU,-14.4667,132.2667,68.32,45,0,5.75,clear sky
161,Vila Velha,BR,-20.3297,-40.2925,69.89,35,37,9.44,scattered clouds
162,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,40,6.91,scattered clouds
163,Lumberton,US,34.6182,-79.0086,86.36,44,35,7.54,scattered clouds
164,Dhali,IN,10.5,77.1667,74.66,77,100,7.52,overcast clouds
165,Pahrump,US,36.2083,-115.9839,97.52,8,0,4.0,clear sky
166,Zapolyarnyy,RU,69.4154,30.8136,33.08,85,100,15.84,overcast clouds
167,Gat,IL,31.61,34.7642,71.4,77,2,1.36,clear sky
168,Lircay,PE,-12.9896,-74.7205,51.42,80,96,1.61,overcast clouds
169,Jimeta,NG,9.2833,12.4667,80.08,69,64,4.05,broken clouds
170,Kailua,US,21.4022,-157.7394,80.49,76,100,7.0,overcast clouds
